alpha_4,alpha_5,alpha_sum,alpha_diff,M_GUT_GeV,1/alpha_GUT,tau_p_years,tau_p_uncertainty_OOM,w_0,theta_23_deg,m_KK_TeV,chi_squared
-1.0,-1.0,-2.0,0.0,1.26e+16,25.68,8.870588299802989e+33,1.1199999999999999,-0.8333333333333334,45.0,7.071067812042251,47.616659793662095
-1.0,-0.9,-1.9,-0.09999999999999998,1.287e+16,25.63,9.693425054865626e+33,1.1039999999999999,-0.8340248962655602,44.7,6.726812023722679,45.17952606871266
-1.0,-0.8,-1.8,-0.19999999999999996,1.314e+16,25.58,1.0574033019638463e+34,1.088,-0.8347107438016529,44.4,6.403124237628065,42.96148875690621
-1.0,-0.7,-1.7,-0.30000000000000004,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,44.1,6.103277808071659,40.94553096010983
-1.0,-0.6,-1.6,-0.4,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,43.8,5.830951895059674,39.11266790314096
-1.0,-0.5,-1.5,-0.5,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,43.5,5.590169943973081,37.4423158051047
-1.0,-0.3999999999999999,-1.4,-0.6000000000000001,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,43.2,5.385164807366622,35.91306674840802
-1.0,-0.29999999999999993,-1.2999999999999998,-0.7000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,42.9,5.220153254694732,34.50396460722563
-1.0,-0.19999999999999996,-1.2,-0.8,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,42.6,5.09901951383793,33.19628416625162
-1.0,-0.09999999999999998,-1.1,-0.9,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,42.3,5.024937810809204,31.975648795560915
-1.0,0.0,-1.0,-1.0,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,42.0,5.00000000025,30.834123362285514
-1.0,0.10000000000000009,-0.8999999999999999,-1.1,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,41.7,5.024937810809204,29.771790196189187
-1.0,0.20000000000000018,-0.7999999999999998,-1.2000000000000002,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,41.4,5.09901951383793,28.797369372300285
-1.0,0.30000000000000004,-0.7,-1.3,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,41.1,5.220153254694732,27.927706214388916
-1.0,0.40000000000000013,-0.5999999999999999,-1.4000000000000001,1.638e+16,24.98,2.677509394225158e+34,0.8959999999999999,-0.84251968503937,40.8,5.385164807366624,27.18630356612019
-1.0,0.5,-0.5,-1.5,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,40.5,5.590169943973081,26.601338018235143
-1.0,0.6000000000000001,-0.3999999999999999,-1.6,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,40.2,5.830951895059674,26.203652727978657
-1.0,0.7000000000000002,-0.2999999999999998,-1.7000000000000002,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,39.9,6.103277808071659,26.025090606059823
-1.0,0.8,-0.19999999999999996,-1.8,1.746e+16,24.78,3.5126480275740084e+34,0.8320000000000001,-0.8449612403100776,39.6,6.403124237628065,26.097332964902495
-1.0,0.9000000000000001,-0.09999999999999987,-1.9000000000000001,1.773e+16,24.73,3.7501357708519066e+34,0.8160000000000001,-0.8455598455598455,39.3,6.726812023722679,26.451241961432423
-1.0,1.0,0.0,-2.0,1.8e+16,24.68,4e+34,0.8,-0.8461538461538461,39.0,7.071067812042251,27.116612242118222
-0.9,-1.0,-1.9,0.09999999999999998,1.287e+16,25.63,9.693425054865626e+33,1.1039999999999999,-0.8340248962655602,45.3,6.726812023722679,44.519526068712665
-0.9,-0.9,-1.8,0.0,1.314e+16,25.58,1.0574033019638463e+34,1.088,-0.8347107438016529,45.0,6.3639610308753465,42.176886394046164
-0.9,-0.8,-1.7000000000000002,-0.09999999999999998,1.341e+16,25.53,1.1515260403137861e+34,1.072,-0.8353909465020576,44.7,6.020797289603761,40.059173811683266
-0.9,-0.7,-1.6,-0.20000000000000007,1.368e+16,25.48,1.25200430976876e+34,1.056,-0.8360655737704918,44.4,5.700877125714955,38.148079134536914
-0.9,-0.6,-1.5,-0.30000000000000004,1.395e+16,25.43,1.3591406184410678e+34,1.04,-0.8367346938775511,44.1,5.408326913427108,36.42245247310755
-0.9,-0.5,-1.4,-0.4,1.422e+16,25.38,1.4732465464137797e+34,1.024,-0.8373983739837398,43.8,5.147815070736321,34.85849029987469
-0.9,-0.3999999999999999,-1.2999999999999998,-0.5000000000000001,1.449e+16,25.33,1.5946429014189118e+34,1.008,-0.8380566801619433,43.5,4.924428901151889,33.43044855171126
-0.9,-0.29999999999999993,-1.2,-0.6000000000000001,1.476e+16,25.28,1.7236598771494949e+34,0.992,-0.8387096774193549,43.2,4.7434164905160925,32.11210079452173
-0.9,-0.19999999999999996,-1.1,-0.7000000000000001,1.503e+16,25.23,1.860637214253011e+34,0.976,-0.8393574297188755,42.9,4.609772228917606,30.879059495964697
-0.9,-0.09999999999999998,-1.0,-0.8,1.53e+16,25.18,2.005924364054581e+34,0.96,-0.84,42.6,4.527692569344787,29.711814232264178
-0.9,0.0,-0.9,-0.9,1.557e+16,25.13,2.1598806550592645e+34,0.944,-0.8406374501992032,42.3,4.500000000277778,28.598948154112044
-0.9,0.10000000000000009,-0.7999999999999999,-1.0,1.584e+16,25.08,2.3228754622837803e+34,0.9279999999999999,-0.8412698412698413,42.0,4.527692569344787,27.539667567012568
-0.9,0.20000000000000018,-0.6999999999999998,-1.1,1.611e+16,25.03,2.4952883794689455e+34,0.9119999999999999,-0.841897233201581,41.7,4.609772228917606,26.544801856163097
-0.9,0.30000000000000004,-0.6,-1.2000000000000002,1.638e+16,24.98,2.677509394225158e+34,0.8960000000000001,-0.84251968503937,41.4,4.7434164905160925,25.635919308798126
-0.9,0.40000000000000013,-0.4999999999999999,-1.3000000000000003,1.665e+16,24.93,2.869939066164242e+34,0.8800000000000001,-0.8431372549019608,41.1,4.92442890115189,24.842913753751695
-0.9,0.5,-0.4,-1.4,1.692e+16,24.88,3.072988708072083e+34,0.8640000000000001,-0.84375,40.8,5.147815070736321,24.200905261757107
-0.9,0.6000000000000001,-0.29999999999999993,-1.5,1.719e+16,24.83,3.287080570177514e+34,0.8480000000000001,-0.8443579766536965,40.5,5.40832691342711,23.74732052660484
