alpha_4,alpha_5,alpha_sum,alpha_diff,tau_p_years,w_0,theta_23_deg,m_KK_TeV,chi_squared
-10.0,-10.0,-20.0,0.0,1.808915056166428e+36,-0.3333333333333333,45.0,70.71067811865474,25398.121604838492
-10.0,-9.5,-19.5,-0.5,1.5009064432016748e+36,-0.38461538461538464,43.5,68.96557112066861,18270.28868437142
-10.0,-9.0,-19.0,-1.0,1.2384933315436545e+36,-0.42857142857142855,42.0,67.26812023536856,13223.549285259978
-10.0,-8.5,-18.5,-1.5,1.015808586370765e+36,-0.4666666666666667,40.5,65.62202374203343,9677.94368474361
-10.0,-8.0,-18.0,-2.0,8.276636289306538e+35,-0.5,39.0,64.03124237432849,7206.585839988554
-10.0,-7.5,-17.5,-2.5,6.694716823155015e+35,-0.5294117647058824,37.5,62.5,5497.393360911854
-10.0,-7.0,-17.0,-3.0,5.371802786773031e+35,-0.5555555555555556,36.0,61.03277807866851,4323.959062252348
-10.0,-6.5,-16.5,-3.5,4.272118163492811e+35,-0.5789473684210527,34.5,59.63430220938281,3523.449143406753
-10.0,-6.0,-16.0,-4.0,3.364111271903339e+35,-0.6,33.0,58.309518948453,2979.895554575529
-10.0,-5.5,-15.5,-4.5,2.619991600004919e+35,-0.6190476190476191,31.5,57.063561052566634,2611.6218483922235
-10.0,-5.0,-15.0,-5.0,2.0153200939582397e+35,-0.6363636363636364,30.0,55.90169943749475,2361.828930178929
-10.0,-4.5,-14.5,-5.5,1.528646246496518e+35,-0.6521739130434783,28.5,54.82928049865327,2191.5892397462303
-10.0,-4.0,-14.0,-6.0,1.1411862265309886e+35,-0.6666666666666666,27.0,53.85164807134503,2074.6699202476407
-10.0,-3.5,-13.5,-6.5,8.365370576728484e+34,-0.68,25.5,52.97405025104273,1993.7388357203931
-10.0,-3.0,-13.0,-7.0,6.004225096426034e+34,-0.6923076923076923,24.0,52.20153254455275,1937.610624525133
-10.0,-2.5,-12.5,-7.5,4.204669297777014e+34,-0.7037037037037037,22.5,51.53882032022076,1899.27005066953
-10.0,-2.0,-12.0,-8.0,2.8599372623103418e+34,-0.7142857142857143,21.0,50.99019513592785,1874.471937820339
-10.0,-1.5,-11.5,-8.5,1.8784563182634937e+34,-0.7241379310344828,19.5,50.55937104039171,1860.764967116948
-10.0,-1.0,-11.0,-9.0,1.1822423784986317e+34,-0.7333333333333333,18.0,50.24937810560445,1856.823712466609
-10.0,-0.5,-10.5,-9.5,7.05465986806433e+33,-0.7419354838709677,16.5,50.06246098625196,1862.001902032641
-10.0,0.0,-10.0,-10.0,3.931697815453764e+33,-0.75,15.0,49.99999999999999,1876.0419192971167
-10.0,0.5,-9.5,-10.5,2.001204288328265e+33,-0.7575757575757576,13.5,50.06246098625196,1898.8924603876487
-10.0,1.0,-9.0,-11.0,8.978011464706634e+32,-0.7647058823529411,12.0,50.24937810560445,1930.5991902114163
-10.0,1.5,-8.5,-11.5,3.338445909878388e+32,-0.7714285714285715,10.5,50.55937104039171,1971.243079184426
-10.0,2.0,-8.0,-12.0,9.115263254380093e+31,-0.7777777777777778,9.0,50.99019513592785,2020.9085487704724
-10.0,2.5,-7.5,-12.5,1.3578503151017122e+31,-0.7837837837837838,7.5,51.53882032022076,2079.6691480987893
-10.0,3.0,-7.0,-13.0,3.394520281663265e+29,-0.7894736842105263,6.0,52.20153254455275,2147.5826468650453
-10.0,3.5,-6.5,-13.5,2.0723637867290417e+28,-0.7948717948717948,4.5,52.97405025104273,2224.6904902053993
-10.0,4.0,-6.0,-14.0,5.18360316444493e+30,-0.8,3.0,53.85164807134503,2311.0187759595456
-10.0,4.5,-5.5,-14.5,4.751439824596313e+31,-0.8048780487804879,1.5,54.82928049865327,2406.5794842785617
-10.0,5.0,-5.0,-15.0,1.9345824921272873e+32,-0.8095238095238095,0.0,55.90169943749475,2511.3717704979326
-10.0,5.5,-4.5,-15.5,5.40287846977837e+32,-0.813953488372093,-1.5,57.063561052566634,2625.3838465827994
-10.0,6.0,-4.0,-16.0,1.2125625946766455e+33,-0.8181818181818182,-3.0,58.309518948453,2748.5964189031256
-10.0,6.5,-3.5,-16.5,2.3589385682719297e+33,-0.8222222222222222,-4.5,59.63430220938281,2880.9888936133875
-10.0,7.0,-3.0,-17.0,4.149293892342705e+33,-0.8260869565217391,-6.0,61.03277807866851,3022.5496614189547
-10.0,7.5,-2.5,-17.5,6.772137919245839e+33,-0.8297872340425532,-7.5,62.5,3173.291773525116
-10.0,8.0,-2.0,-18.0,1.043227594275018e+34,-0.8333333333333334,-9.0,64.03124237432849,3333.275252144146
-10.0,8.5,-1.5,-18.5,1.5348704143222092e+34,-0.8367346938775511,-10.5,65.62202374203343,3502.637166046231
-10.0,9.0,-1.0,-19.0,2.17527120958677e+34,-0.84,-12.0,67.26812023536856,3681.630462023346
-10.0,9.5,-0.5,-19.5,2.9886172515967415e+34,-0.8431372549019608,-13.5,68.96557112066861,3870.6723897762568
-10.0,10.0,0.0,-20.0,4e+34,-0.8461538461538461,-15.0,70.71067811865474,4070.4031999989434
-9.5,-10.0,-19.5,0.5,1.5009064432016748e+36,-0.38461538461538464,46.5,68.96557112066861,18263.68868437142
-9.5,-9.5,-19.0,0.0,1.2384933315436545e+36,-0.42857142857142855,45.0,67.175144212722,13206.710653384534
-9.5,-9.0,-18.5,-0.5,1.015808586370765e+36,-0.4666666666666667,43.5,65.43126164151201,9650.89287629648
-9.5,-8.5,-18.0,-1.0,8.276636289306538e+35,-0.5,42.0,63.73774391990981,7169.350081487857
-9.5,-8.0,-17.5,-1.5,6.694716823155015e+35,-0.5294117647058824,40.5,62.09871174187111,5450.000446331564
-9.5,-7.5,-17.0,-2.0,5.371802786773031e+35,-0.5555555555555556,39.0,60.51859218455102,4266.437084669995
-9.5,-7.0,-16.5,-2.5,4.272118163492811e+35,-0.5789473684210527,37.5,59.002118606029725,3455.826153225195
-9.5,-6.5,-16.0,-3.0,3.364111271903339e+35,-0.6,36.0,57.554322166106694,2902.199136878434
-9.5,-6.0,-15.5,-3.5,2.619991600004919e+35,-0.6190476190476191,34.5,56.180512635610576,2523.878614685482
-9.5,-5.5,-15.0,-4.0,2.0153200939582397e+35,-0.6363636363636364,33.0,54.886246000250374,2264.063924083773
-9.5,-5.0,-14.5,-4.5,1.528646246496518e+35,-0.6521739130434783,31.5,53.67727638395971,2083.8252623770445
-9.5,-4.5,-14.0,-5.0,1.1411862265309886e+35,-0.6666666666666666,30.0,52.55949010407159,1956.9267890676447
