alpha_4,alpha_5,alpha_6,chi_squared
-5.0,-5.0,0.5,817.073477554688
-5.0,-5.0,1.125,816.0179334470731
-5.0,-5.0,1.75,812.1884843774392
-5.0,-5.0,2.375,815.2084397600622
-5.0,-5.0,3.0,894.9255035067005
-5.0,-4.5,0.5,741.530812092237
-5.0,-4.5,1.125,740.9571708125741
-5.0,-4.5,1.75,738.4827341514092
-5.0,-4.5,2.375,735.309135653954
-5.0,-4.5,3.0,748.9564449160034
-5.0,-4.0,0.5,675.2421624967801
-5.0,-4.0,1.125,674.9700415072577
-5.0,-4.0,1.75,673.6879638724592
-5.0,-4.0,2.375,670.8570783172594
-5.0,-4.0,3.0,669.1620480270819
-5.0,-3.5,0.5,618.1134732436595
-5.0,-3.5,1.125,618.0071843621873
-5.0,-3.5,1.75,617.4841235747567
-5.0,-3.5,2.375,616.1055370920535
-5.0,-3.5,3.0,613.7617420111487
-5.0,-3.0,0.5,570.0401333478733
-5.0,-3.0,1.125,570.009776645533
-5.0,-3.0,1.75,569.8575344096726
-5.0,-3.0,2.375,569.428874197312
-5.0,-3.0,3.0,568.5441985904482
-5.0,-2.5,0.5,530.9084511891272
-5.0,-2.5,1.125,530.9037320598802
-5.0,-2.5,1.75,530.8799166678389
-5.0,-2.5,2.375,530.8114617584365
-5.0,-2.5,3.0,530.662734022623
-5.0,-2.0,0.5,500.59918010779353
-5.0,-2.0,1.125,500.59905712058816
-5.0,-2.0,1.75,500.59843576598456
-5.0,-2.0,2.375,500.59664326621123
-5.0,-2.0,3.0,500.5927150210146
-5.0,-1.5,0.5,478.9935604057456
-5.0,-1.5,1.125,478.9935525807839
-5.0,-1.5,1.75,478.9935130464965
-5.0,-1.5,2.375,478.9933989866515
-5.0,-1.5,3.0,478.99314897205556
-5.0,-1.0,0.5,465.98188056568694
-5.0,-1.0,1.125,465.9798412065056
-5.0,-1.0,1.75,465.96954275965123
-5.0,-1.0,2.375,465.93987827280637
-5.0,-1.0,3.0,465.8751013248574
-5.0,-0.5,0.5,461.4737283472896
-5.0,-0.5,1.125,461.4542658409681
-5.0,-0.5,1.75,461.3563987465566
-5.0,-0.5,2.375,461.0783844537707
-5.0,-0.5,3.0,460.4915424998626
-5.0,0.0,0.5,465.4081106499248
-5.0,0.0,1.125,465.32577828255796
-5.0,0.0,1.75,464.9181579865652
-5.0,0.0,2.375,463.82026845823015
-5.0,0.0,3.0,461.819697511745
-5.0,0.5,0.5,477.76097849499195
-5.0,0.5,1.125,477.5230830644791
-5.0,0.5,1.75,476.3918393448233
-5.0,0.5,2.375,473.7894754289297
-5.0,0.5,3.0,471.5216333638849
-5.0,1.0,0.5,498.5479627493297
-5.0,1.0,1.125,497.9996271139919
-5.0,1.0,1.75,495.6155637045468
-5.0,1.0,2.375,492.35200879016037
-5.0,1.0,3.0,503.97997558312693
-5.0,1.5,0.5,527.8214368456295
-5.0,1.5,1.125,526.7387313915098
-5.0,1.5,1.75,522.8547595854066
-5.0,1.5,2.375,526.4912818887074
-5.0,1.5,3.0,611.5807982127536
-5.0,2.0,0.5,565.6627989434944
-5.0,2.0,1.125,563.764747446452
-5.0,2.0,1.75,559.4990133383401
-5.0,2.0,2.375,597.0069789312629
-5.0,2.0,3.0,938.0574064002101
-5.0,2.5,0.5,612.1721778625595
-5.0,2.5,1.125,609.1697566373348
-5.0,2.5,1.75,609.383265507644
-5.0,2.5,2.375,753.9346969344035
-5.0,2.5,3.0,1818.662173430666
-5.0,3.0,0.5,667.4580389384869
-5.0,3.0,1.125,663.1685531689617
-5.0,3.0,1.75,681.0887057015095
-5.0,3.0,2.375,1103.2507078298938
-5.0,3.0,3.0,3953.4963364415744
-5.0,3.5,0.5,731.6285273535854
-5.0,3.5,1.125,726.1977345868074
-5.0,3.5,1.75,791.7058829140668
-5.0,3.5,2.375,1850.3964501035562
-5.0,3.5,3.0,8689.860549774752
-5.0,4.0,0.5,804.7854001850203
-5.0,4.0,1.125,799.0783979667885
-5.0,4.0,1.75,972.7016376873212
-5.0,4.0,2.375,3367.998701420894
-5.0,4.0,3.0,18461.428838944757
-5.0,4.5,0.5,887.0205734229592
-5.0,4.5,1.125,883.2669216606898
-5.0,4.5,1.75,1278.7300552553402
-5.0,4.5,2.375,6297.455666826125
-5.0,4.5,3.0,37446.92322241235
-5.0,5.0,0.5,978.4148564919111
-5.0,5.0,1.125,981.2250598587206
-5.0,5.0,1.75,1800.4744878395675
-5.0,5.0,2.375,11696.904970306581
-5.0,5.0,3.0,72529.41312038079
-4.5,-5.0,0.5,734.930812092237
-4.5,-5.0,1.125,734.3571708125739
-4.5,-5.0,1.75,731.8827341514091
-4.5,-5.0,2.375,728.7091356539538
-4.5,-5.0,3.0,742.3564449160034
-4.5,-4.5,0.5,658.9691506825128
-4.5,-4.5,1.125,658.6970296929906
-4.5,-4.5,1.75,657.4149520581921
-4.5,-4.5,2.375,654.5840665029921
-4.5,-4.5,3.0,652.8890362128147
-4.5,-4.0,0.5,592.2816875016041
-4.5,-4.0,1.125,592.1753986201319
-4.5,-4.0,1.75,591.6523378327013
-4.5,-4.0,2.375,590.2737513499981
-4.5,-4.0,3.0,587.9299562690933
-4.5,-3.5,0.5,534.7671895049876
-4.5,-3.5,1.125,534.7368328026473
-4.5,-3.5,1.75,534.5845905667869
-4.5,-3.5,2.375,534.1559303544263
-4.5,-3.5,3.0,533.2712547475625
-4.5,-3.0,0.5,486.30913452934817
-4.5,-3.0,1.125,486.3044154001011
-4.5,-3.0,1.75,486.2806000080599
-4.5,-3.0,2.375,486.21214509865746
-4.5,-3.0,3.0,486.063417362844
-4.5,-2.5,0.5,446.7762978654212
-4.5,-2.5,1.125,446.7761748782159
-4.5,-2.5,1.75,446.77555352361225
-4.5,-2.5,2.375,446.7737610238389
-4.5,-2.5,3.0,446.7698327786423
-4.5,-2.0,0.5,416.02598012856924
-4.5,-2.0,1.125,416.02597230360755
-4.5,-2.0,1.75,416.0259327693201
-4.5,-2.0,2.375,416.02581870947506
-4.5,-2.0,3.0,416.0255686948791
-4.5,-1.5,0.5,393.9109637075428
-4.5,-1.5,1.125,393.90892434836155
-4.5,-1.5,1.75,393.8986259015071
-4.5,-1.5,2.375,393.8689614146623
-4.5,-1.5,3.0,393.8041844667133
-4.5,-1.0,0.5,380.29078184992466
-4.5,-1.0,1.125,380.2713193436032
-4.5,-1.0,1.75,380.17345224919166
-4.5,-1.0,2.375,379.8954379564057
-4.5,-1.0,3.0,379.30859600249767
-4.5,-0.5,0.5,375.04656500053545
-4.5,-0.5,1.125,374.96423263316854
-4.5,-0.5,1.75,374.55661233717575
-4.5,-0.5,2.375,373.4587228088407
-4.5,-0.5,3.0,371.4581518623556
-4.5,0.0,0.5,378.09676828540427
-4.5,0.0,1.125,377.8588728548914
-4.5,0.0,1.75,376.72762913523553
-4.5,0.0,2.375,374.12526521934194
-4.5,0.0,3.0,371.8574231542972
-4.5,0.5,0.5,389.4094537237418
-4.5,0.5,1.125,388.861118088404
-4.5,0.5,1.75,386.4770546789589
-4.5,0.5,2.375,383.2134997645725
-4.5,0.5,3.0,394.841466557539
-4.5,1.0,0.5,409.0069150553724
-4.5,1.0,1.125,407.9242096012527
-4.5,1.0,1.75,404.04023779514955
-4.5,1.0,2.375,407.67676009845025
-4.5,1.0,3.0,492.76627642249656
-4.5,1.5,0.5,436.9608776577477
-4.5,1.5,1.125,435.0628261607052
-4.5,1.5,1.75,430.79709205259337
-4.5,1.5,2.375,468.3050576455162
-4.5,1.5,3.0,809.3554851144635
-4.5,2.0,0.5,473.38005654097344
-4.5,2.0,1.125,470.37763531574865
-4.5,2.0,1.75,470.5911441860578
-4.5,2.0,2.375,615.1425756128174
-4.5,2.0,3.0,1679.87005210908
-4.5,2.5,0.5,518.3943016081614
-4.5,2.5,1.125,514.1048158386363
-4.5,2.5,1.75,532.0249683711841
-4.5,2.5,2.375,954.1869704995685
-4.5,2.5,3.0,3804.4325991112487
-4.5,3.0,0.5,572.1396769570343
-4.5,3.0,1.125,566.7088841902564
-4.5,3.0,1.75,632.2170325175158
-4.5,3.0,2.375,1690.9075997070051
-4.5,3.0,3.0,8530.3716993782
-4.5,3.5,0.5,634.747195763292
-4.5,3.5,1.125,629.0401935450602
-4.5,3.5,1.75,802.6634332655929
-4.5,3.5,2.375,3197.960496999166
-4.5,3.5,3.0,18291.390634523028
-4.5,4.0,0.5,706.3359786118288
-4.5,4.0,1.125,702.5823268495594
-4.5,4.0,1.75,1098.0454604442098
-4.5,4.0,2.375,6116.771072014995
-4.5,4.0,3.0,37266.23862760121
-4.5,4.5,0.5,787.0102929745412
-4.5,4.5,1.125,789.8204963413507
-4.5,4.5,1.75,1609.0699243221977
-4.5,4.5,2.375,11505.500406789211
-4.5,4.5,3.0,72338.00855686344
-4.5,5.0,0.5,876.8594401363855
-4.5,5.0,1.125,894.7704667982835
-4.5,5.0,1.75,2480.734197283207
-4.5,5.0,2.375,21049.42662878641
-4.5,5.0,3.0,134457.97375617473
-4.0,-5.0,0.5,662.0421624967801
-4.0,-5.0,1.125,661.7700415072577
-4.0,-5.0,1.75,660.4879638724592
-4.0,-5.0,2.375,657.6570783172593
-4.0,-5.0,3.0,655.9620480270819
-4.0,-4.5,0.5,585.6816875016041
-4.0,-4.5,1.125,585.5753986201319
-4.0,-4.5,1.75,585.0523378327013
-4.0,-4.5,2.375,583.6737513499979
-4.0,-4.5,3.0,581.3299562690931
-4.0,-4.0,0.5,518.6278185950787
-4.0,-4.0,1.125,518.5974618927382
-4.0,-4.0,1.75,518.445219656878
-4.0,-4.0,2.375,518.0165594445173
-4.0,-4.0,3.0,517.1318838376535
-4.0,-3.5,0.5,460.7736197171363
-4.0,-3.5,1.125,460.7689005878892
-4.0,-3.5,1.75,460.745085195848
-4.0,-3.5,2.375,460.6766302864456
-4.0,-3.5,3.0,460.5279025506321
-4.0,-3.0,0.5,411.99121230399237
