alpha_4,alpha_5,alpha_6,chi_squared
-1.0,-1.0,0.5,48.11834308147251
-1.0,-1.0,1.125,43.828857311947374
-1.0,-1.0,1.75,61.749009844495156
-1.0,-1.0,2.375,483.9110119728795
-1.0,-1.0,3.0,3334.1566405845597
-1.0,-0.9,0.5,46.36374976371395
-1.0,-0.9,1.125,41.818272301966736
-1.0,-0.9,1.75,66.13086903987366
-1.0,-0.9,2.375,578.6512569579904
-1.0,-0.9,3.0,4000.626456681879
-1.0,-0.8,0.5,44.88604849242706
-1.0,-0.8,1.125,40.09329363485522
-1.0,-0.8,1.75,72.13675009836142
-1.0,-0.8,2.375,690.9884919514113
-1.0,-0.8,3.0,4782.635833039934
-1.0,-0.7,0.5,43.66716538436974
-1.0,-0.7,1.125,38.64061802589806
-1.0,-0.7,1.75,79.96403833357157
-1.0,-0.7,2.375,823.4738325517142
-1.0,-0.7,3.0,5696.966590617006
-1.0,-0.6,0.5,42.68679371901603
-1.0,-0.6,1.125,37.445453986040654
-1.0,-0.6,1.75,89.83504309688028
-1.0,-0.6,2.375,978.9714559467461
-1.0,-0.6,3.0,6762.446399394997
-1.0,-0.5,0.5,41.92273237930165
-1.0,-0.5,1.125,36.4919396125238
-1.0,-0.5,1.75,102.00008793978316
-1.0,-0.5,2.375,1160.6906551292725
-1.0,-0.5,3.0,8000.154754800468
-1.0,-0.3999999999999999,0.5,41.35162777012811
-1.0,-0.3999999999999999,1.125,35.76397035663116
-1.0,-0.3999999999999999,1.75,116.74122786500061
-1.0,-0.3999999999999999,2.375,1372.2208708368382
-1.0,-0.3999999999999999,3.0,9433.646043405563
-1.0,-0.29999999999999993,0.5,40.95021411329595
-1.0,-0.29999999999999993,1.125,35.246532087039675
-1.0,-0.29999999999999993,1.75,134.37670298745937
-1.0,-0.29999999999999993,2.375,1617.5699621110682
-1.0,-0.29999999999999993,3.0,11089.190868705704
-1.0,-0.19999999999999996,0.5,40.697054078219466
-1.0,-0.19999999999999996,1.125,34.92754184949923
-1.0,-0.19999999999999996,1.75,155.26614572715923
-1.0,-0.19999999999999996,2.375,1901.205891951158
-1.0,-0.19999999999999996,3.0,12996.036770045392
-1.0,-0.09999999999999998,0.5,40.57461493402752
-1.0,-0.09999999999999998,1.125,34.800031972299415
-1.0,-0.09999999999999998,1.75,179.81639265415976
-1.0,-0.09999999999999998,2.375,2228.101846647269
-1.0,-0.09999999999999998,3.0,15186.689358574637
-1.0,0.0,0.5,40.57131671442348
-1.0,0.0,1.125,34.86431449619176
-1.0,0.0,1.75,208.48755421672433
-1.0,0.0,2.375,2603.784617950297
-1.0,0.0,3.0,17697.21475547416
-1.0,0.10000000000000009,0.5,40.68306001355557
-1.0,0.10000000000000009,1.125,35.12963405875663
-1.0,0.10000000000000009,1.75,241.79886754991526
-1.0,0.10000000000000009,2.375,3034.3859580218623
-1.0,0.10000000000000009,3.0,20567.564151427345
-1.0,0.20000000000000018,0.5,40.91379446731917
-1.0,0.20000000000000018,1.125,35.6148708248564
-1.0,0.20000000000000018,1.75,280.33391187320797
-1.0,0.20000000000000018,2.375,3526.696680615866
-1.0,0.20000000000000018,3.0,23841.92142502915
-1.0,0.30000000000000004,0.5,41.27495060481408
-1.0,0.30000000000000004,1.125,36.348116711682124
-1.0,0.30000000000000004,1.75,324.7450285282037
-1.0,0.30000000000000004,2.375,4088.2235540720617
-1.0,0.30000000000000004,3.0,27569.075087498844
-1.0,0.40000000000000013,0.5,41.7839123869631
-1.0,0.40000000000000013,1.125,37.365302816871136
-1.0,0.40000000000000013,1.75,375.7571432906264
-1.0,0.40000000000000013,2.375,4727.249397277051
-1.0,0.40000000000000013,3.0,31802.81624661894
-1.0,0.5,0.5,42.46196937960063
-1.0,0.5,1.125,38.70831761733129
-1.0,0.5,1.75,434.17145121198143
-1.0,0.5,2.375,5452.897062782766
-1.0,0.5,3.0,36602.364618368985
-1.0,0.6000000000000001,0.5,43.33224094452115
-1.0,0.6000000000000001,1.125,40.423108972657964
-1.0,0.6000000000000001,1.75,500.8694787150758
-1.0,0.6000000000000001,2.375,6275.198056592966
-1.0,0.6000000000000001,3.0,42032.82474518506
-1.0,0.7000000000000002,0.5,44.417935958862394
-1.0,0.7000000000000002,1.125,42.55813412524629
-1.0,0.7000000000000002,1.75,576.8179098703765
-1.0,0.7000000000000002,2.375,7205.166427637801
-1.0,0.7000000000000002,3.0,48165.67453115871
-1.0,0.8,0.5,45.74111287898258
-1.0,0.8,1.125,45.163323227628695
-1.0,0.8,1.75,663.0743662069665
-1.0,0.8,2.375,8254.878374163382
-1.0,0.8,3.0,55079.28808941197
-1.0,0.9000000000000001,0.5,47.32193819126104
-1.0,0.9000000000000001,1.125,48.28955518784326
-1.0,0.9000000000000001,1.75,760.7941638058641
-1.0,0.9000000000000001,2.375,9437.557860929386
-1.0,0.9000000000000001,3.0,62859.49481721944
-1.0,1.0,0.5,49.178348352951616
-1.0,1.0,1.125,51.988551719761034
-1.0,1.0,1.75,871.237979700608
-1.0,1.0,2.375,10767.668462167623
-1.0,1.0,3.0,71600.17661224183
-0.9,-1.0,0.5,45.04374976371396
-0.9,-1.0,1.125,40.49827230196675
-0.9,-1.0,1.75,64.81086903987367
-0.9,-1.0,2.375,577.3312569579905
-0.9,-1.0,3.0,3999.306456681879
-0.9,-0.9,0.5,43.351446129573624
-0.9,-0.9,1.125,38.55869127200179
-0.9,-0.9,1.75,70.60214773550797
-0.9,-0.9,2.375,689.4538895885579
-0.9,-0.9,3.0,4781.101230677081
-0.9,-0.8,0.5,41.940808235958606
-0.9,-0.8,1.125,36.914260877486925
-0.9,-0.8,1.75,78.23768118516043
-0.9,-0.8,2.375,821.747475403303
-0.9,-0.8,3.0,5695.240233468595
-0.9,-0.7,0.5,40.79220495043887
-0.9,-0.7,1.125,35.5508652174635
-0.9,-0.7,1.75,87.94045432830315
-0.9,-0.7,2.375,977.076867178169
-0.9,-0.7,3.0,6760.55181062642
-0.9,-0.6,0.5,39.88286904734584
-0.9,-0.6,1.125,34.452076280567994
-0.9,-0.6,1.75,99.96022460782734
-0.9,-0.6,2.375,1158.6507917973167
-0.9,-0.6,3.0,7998.114891468513
-0.9,-0.5,0.5,39.18705132165365
-0.9,-0.5,1.125,33.599393908156706
-0.9,-0.5,1.75,114.57665141652615
-0.9,-0.5,2.375,1370.0562943883638
-0.9,-0.5,3.0,9431.48146695709
-0.9,-0.3999999999999999,0.5,38.67669805786067
-0.9,-0.3999999999999999,1.125,32.973016031604395
-0.9,-0.3999999999999999,1.75,132.10318693202404
-0.9,-0.3999999999999999,2.375,1615.296446055633
-0.9,-0.3999999999999999,3.0,11086.917352650267
-0.9,-0.29999999999999993,0.5,38.32287070659064
-0.9,-0.29999999999999993,1.125,32.553358477870404
-0.9,-0.29999999999999993,1.75,152.89196235553038
-0.9,-0.29999999999999993,2.375,1898.8317085795293
-0.9,-0.29999999999999993,3.0,12993.662586673763
-0.9,-0.19999999999999996,0.5,38.09802563455452
-0.9,-0.19999999999999996,1.125,32.32344267282641
-0.9,-0.19999999999999996,1.75,177.33980335468672
-0.9,-0.19999999999999996,2.375,2225.625257347796
-0.9,-0.19999999999999996,3.0,15184.212769275166
-0.9,-0.09999999999999998,0.5,37.97900758454558
-0.9,-0.09999999999999998,1.125,32.272005366313856
-0.9,-0.09999999999999998,1.75,205.89524508684644
-0.9,-0.09999999999999998,2.375,2601.1923088204194
-0.9,-0.09999999999999998,3.0,17694.622446344285
-0.9,0.0,0.5,37.95021797163805
-0.9,0.0,1.125,32.3967920168391
-0.9,0.0,1.75,239.06602550799772
-0.9,0.0,2.375,3031.6531159799447
-0.9,0.0,3.0,20564.831309385427
-0.9,0.10000000000000009,0.5,38.006092662201574
-0.9,0.10000000000000009,1.125,32.70716901973881
-0.9,0.10000000000000009,1.75,277.42621006809037
-0.9,0.10000000000000009,2.375,3523.7889788107486
-0.9,0.10000000000000009,3.0,23839.013723224034
-0.9,0.20000000000000018,0.5,38.152046246762644
-0.9,0.20000000000000018,1.125,33.22521235363069
-0.9,0.20000000000000018,1.75,321.6221241701523
-0.9,0.20000000000000018,2.375,4085.10064971401
-0.9,0.20000000000000018,3.0,27565.952183140795
-0.9,0.30000000000000004,0.5,38.40352812981374
-0.9,0.30000000000000004,1.125,33.984918559721784
-0.9,0.30000000000000004,1.75,372.3767590334771
-0.9,0.30000000000000004,2.375,4723.869013019901
-0.9,0.30000000000000004,3.0,31799.435862361788
-0.9,0.40000000000000013,0.5,38.78354511528344
-0.9,0.40000000000000013,1.125,35.02989335301409
-0.9,0.40000000000000013,1.75,430.4930269476643
-0.9,0.40000000000000013,2.375,5449.218638518449
-0.9,0.40000000000000013,3.0,36598.68619410467
-0.9,0.5,0.5,39.31949347845609
-0.9,0.5,1.125,36.410361506592906
-0.9,0.5,1.75,496.8567312490107
-0.9,0.5,2.375,6271.185309126901
-0.9,0.5,3.0,42028.811997719
-0.9,0.6000000000000001,0.5,40.040165879552156
-0.9,0.6000000000000001,1.125,38.18036404593605
-0.9,0.6000000000000001,1.75,572.4401397910664
-0.9,0.6000000000000001,2.375,7200.78865755849
-0.9,0.6000000000000001,3.0,48161.2967610794
-0.9,0.7000000000000002,0.5,40.97347199463694
-0.9,0.7000000000000002,1.125,40.395682343283056
-0.9,0.7000000000000002,1.75,658.3067253226209
-0.9,0.7000000000000002,2.375,8250.110733279036
-0.9,0.7000000000000002,3.0,55074.52044852763
-0.9,0.8,0.5,42.145019229034915
-0.9,0.8,1.125,43.11263622561714
-0.9,0.8,1.75,755.6172448436379
-0.9,0.8,2.375,9432.38094196716
-0.9,0.8,3.0,62854.31789825721
-0.9,0.9000000000000001,0.5,43.577435649477614
-0.9,0.9000000000000001,1.125,46.38763901628703
-0.9,0.9000000000000001,1.75,865.637066997134
-0.9,0.9000000000000001,2.375,10762.067549464147
-0.9,0.9000000000000001,3.0,71594.57569953837
-0.9,1.0,0.5,45.29021628415726
-0.9,1.0,1.125,50.277291480134
-0.9,1.0,1.75,989.7445568348627
-0.9,1.0,2.375,12254.975855793995
-0.9,1.0,3.0,81397.8694337032
-0.8,-1.0,0.5,42.24604849242705
-0.8,-1.0,1.125,37.453293634855214
-0.8,-1.0,1.75,69.4967500983614
-0.8,-1.0,2.375,688.3484919514113
-0.8,-1.0,3.0,4779.995833039934
-0.8,-0.9,0.5,40.62080823595862
-0.8,-0.9,1.125,35.59426087748694
-0.8,-0.9,1.75,76.91768118516043
-0.8,-0.9,2.375,820.4274754033031
-0.8,-0.9,3.0,5693.920233468595
-0.8,-0.8,0.5,39.284330768457075
-0.8,-0.8,1.125,34.042991035481705
-0.8,-0.8,1.75,86.43258014632134
-0.8,-0.8,2.375,975.5689929961871
-0.8,-0.8,3.0,6759.043936444438
-0.8,-0.7,0.5,38.21576608490346
-0.8,-0.7,1.125,32.78497331812561
-0.8,-0.7,1.75,98.29312164538497
-0.8,-0.7,2.375,1156.9836888348743
-0.8,-0.7,3.0,7996.4477885060705
-0.8,-0.6,0.5,37.39003420936789
-0.8,-0.6,1.125,31.802376795870945
-0.8,-0.6,1.75,112.7796343042404
-0.8,-0.6,2.375,1368.2592772760781
-0.8,-0.6,3.0,9429.684449844803
-0.8,-0.5,0.5,36.77760889964429
-0.8,-0.5,1.125,31.073926873388015
-0.8,-0.5,1.75,130.2040977738077
-0.8,-0.5,2.375,1613.3973568974166
-0.8,-0.5,3.0,11085.018263492051
